# kh	pk
0.0001	452.98832688923596
0.0001059560179277616	478.8745823931303
0.00011226677735108136	506.2381759503427
0.00011895340673703196	535.1630095634845
0.00012603829296797275	565.7377830309798
0.00013354515629298986	598.0561672941964
0.0001414991297434576	632.2170166619826
0.00014992684327860457	668.3246748491197
0.00015885651294280528	706.4892693722239
0.00016831803533309567	746.8269757362777
0.00017834308769319092	789.4603656638575
0.00018896523396912096	834.5187324349619
0.00020022003718155843	882.1384555198563
0.000212145178491063	932.4633444603215
0.00022478058335487254	985.644837248231
0.00023816855519761583	1041.8424257826196
0.0002523539170434766	1101.2240297491808
0.0002673841615839947	1163.9664736226314
0.0002833096101839324	1230.2558883111456
0.0003001835813575589	1300.288013256052
0.0003180625692794119	1374.2685822591338
0.0003370064329271929	1452.4134421062433
0.00035707859649004625	1534.9492037147484
0.00037834626171319284	1622.113692573226
0.0004008806328898465	1714.1562443769421
0.0004247571552536898	1811.337991002461
0.0004500557675700498	1913.9318641623765
0.00047686116977144693	2022.2233128686894
0.0005052631065335679	2136.511035450268
0.0005353566677410724	2257.106737556691
0.0005672426068491978	2384.3347953553002
0.0006010276782070382	2518.5328931791237
0.0006368249944718586	2660.0524188761624
0.0006747544053110692	2809.258752929845
0.0007149428986597577	2966.530931806259
0.0007575250258771913	3132.2603802243443
0.0008026433522257173	3306.8523374818665
0.0008504489341802677	3490.7257453150382
0.000901101825166502	3684.3103460927914
0.0009547716114208055	3888.047028227806
0.0010116379797662069	4102.387438540895
0.0010718913192051276	4327.79173152071
0.0011357333583431053	4564.725483380881
0.001203377840777589	4813.660419792664
0.0012750512407130128	5075.0723908645605
0.0013509935211980266	5349.434111978593
0.0014314589375234782	5637.215993979921
0.0015167168884709225	5938.883853547273
0.0016070528182616387	6254.893853906547
0.001702769172225899	6585.687366377996
0.0018041864093920716	6931.6830333860225
0.0019116440753857017	7293.274644209242
0.0020255019392306666	7670.825563388342
0.002146141197858403	8064.662902799672
0.0022739657523579274	8475.068070148836
0.0024094035602395245	8902.268103719378
0.002552908068239516	9346.429231892458
0.002704959730463134	9807.647627363423
0.0028660676169482502	10285.94105974273
0.003036771118035456	10781.232240096657
0.003217641750250735	11293.341873088575
0.003409285069746811	11821.976581154491
0.0036123426997094307	12366.709128537314
0.00382749447851631	12926.97138659541
0.004055460735840827	13502.035454566436
0.00429700470432084	14091.004768753586
0.004552935074866946	14692.79534596663
0.004824108704165368	15306.124259487337
0.005111433483440165	15929.497340882279
0.0054158713780794706	16561.171911861486
0.005738441648302394	17199.158686556257
0.00608022426164942	17841.197435107948
0.0064423635087213675	18484.742854865297
0.006826071834272387	19126.950672135827
0.007232633896483532	19764.655413599554
0.0076634108680074505	20394.37256612741
0.008119844993184008	21012.238263861258
0.0086034644166845	21614.05377812311
0.009115888299750814	22195.275516095462
0.0096588322411587	22750.966030603715
0.010234114021054523	23275.831515478967
0.01084365968689609	23764.195848063362
0.011489510001873085	24210.091029455427
0.012173827277396604	24607.23443815747
0.012898902612533084	24949.097688185673
0.013667163564620059	25228.982709980544
0.014481182276745325	25440.097945667123
0.015343684089300117	25575.765717791146
0.01625755666443793	25629.47970474282
0.01722585965398785	25595.211492392777
0.018251834943190427	25467.592000971126
0.019338917504552296	25242.271255824904
0.02049074689815845	24916.19936980795
0.02171117945694503	24488.06165361528
0.02300430119772916	23958.584771712736
0.02437444150122218	23330.99085795176
0.025826187606826746	22611.395484871835
0.027364399970746685	21808.79329100466
0.028994228538828732	20935.720563104773
0.030721129988617556	20007.393119213644
0.03255088599835055	19042.53713104039
0.034489622604057565	18061.434609497912
0.03654383070957254	17085.595217730715
0.038720387818125514	16138.306293875688
0.04102658105827191	15240.779842937325
0.04347013158125022	14405.65252528786
0.04605922041145101	13646.277820382893
0.04880251583654429	12981.919632564432
0.05170920242896754	12406.058136033706
0.05478901179593936	11896.412975974592
0.05805225516094896	11439.195839893231
0.06150985788580496	11004.30702955113
0.06517339604882416	10552.81160425363
0.06905513520162324	10048.686854653199
0.0731680714342719	9462.222856948823
0.07752597488629452	8784.43930411295
0.0821434358491942	8033.361088270018
0.08703591361485154	7251.791003243441
0.09221978823334315	6496.546183665213
0.0977124153534649	5829.565650524189
0.10353218432956611	5300.061489011908
0.10969857978923832	4918.966210625178
0.11623224686798515	4647.485614805608
0.12315506032928243	4414.74655648762
0.13049019780144017	4144.0540764578445
0.13826221737646546	3787.7389039932223
0.1464971398307284	3363.619331195351
0.15522253574270464	2944.0967131552657
0.16446761779946623	2611.6141305137658
0.1742633386009648	2395.421179955009
0.18464249428955423	2244.119446274427
0.1956398343517062	2076.5774199058483
0.20729217795953683	1851.634231147689
0.21963853724165444	1616.1552990734826
0.23272024789604062	1436.946713212303
0.24658110758225996	1318.5323853574193
0.2612675225563326	1203.453052973972
0.2768286630392062	1063.6236054699857
0.29331662783900425	936.0463203339846
0.31078661877820074	844.6002500581911
0.3292971255097149	760.3933711559121
0.348910121340677	670.3334991748364
0.36969127071950236	595.6251353074308
0.3917101490809254	533.0399781944003
0.4150404757850469	470.96855095679877
0.43976036093027115	417.622761790804
0.46595256686646785	370.6285146870746
0.49370478528389977	327.2099963335599
0.5231099308056256	289.63768846651647
0.5542664520663098	255.53525946422383
0.5872786613189471	225.51924125268204
0.6222570836730227	198.70168317787596
0.6593188271333542	174.99423988193257
0.6985879746785241	153.96789106585516
0.7401959996915632	135.33099440452534
0.7842822061337668	118.84396495309606
0.8309941949353378	104.2844764322259
0.8804883581643459	91.4418612642567
0.9329304026284676	80.12196029629953
0.9884959046625573	70.15149613096624
1.047370897959448	61.37633004845108
1.10975249641207	53.6601965706431
1.1758495540521543	46.88158214033035
1.2458833642950071	40.9319267092711
1.3200884008314167	35.7142498809704
1.3987131026472366	31.142021446925323
1.482020705798856	27.13839798913508
1.5702901247293741	23.63523906537263
1.6638168860761278	20.572198869272434
1.7629141180959462	17.89588118520586
1.8679135990207805	15.559078129968595
1.9791668678535543	13.520089801370398
2.0970464013232286	11.742104798208578
2.221946860939519	10.192682589669555
2.354286414322416	8.84326679014417
2.4945081352303142	7.668738723293232
2.643081486974102	6.6470224039035
2.800503894183626	5.758737792916449
2.9673024081888637	4.986885308349176
3.144035471591493	4.316562989178168
3.3312947879346706	3.7347193991259493
3.5297073027306456	3.2299338462808977
3.739937302478792	2.7922192742368344
3.9626886387014713	2.412847460999042
4.198707084443901	2.0841972155718533
4.448782831127582	1.7996186779986396
4.713753134116719	1.5533120448283895
4.994505115855134	1.3402221460839034
5.291978735958434	1.1559472638016803
5.6071699382054465	0.996656978490133
5.94113398496502	0.8590201692498101
6.294988990221883	0.7401411929788884
6.6699196630301145	0.6375040755740187
7.067181273927481	0.5489235157895822
7.488103857590009	0.4725018022045041
7.934096665797476	0.4065930301340152
8.406652885618305	0.34977061060027154
8.907354638610432	0.3007994284455945
9.437878277775368	0.2586104388773824
9.999999999999984	0.2222775531479259
